species,id,head_length,body_lentgth,tail_length,weight,altitude,bio1_37,bio2_37,bio3_37,bio4_37,bio5_37,bio6_37,bio7_37,bio8_37,bio9_37,bio10_37,bio11_37,bio12_37,bio13_37,bio14_37,bio15_37,bio16_37,bio17_37,bio18_37,bio19_37,id_seq
E. myoxinus,G7_2015,40.83,89,150,70,812,214,108,73,1647,282,135,147,231,191,231,191,1436,271,24,80,781,101,760,101,PL1_Pool1_41_G07_2015
E. myoxinus,G10_2015,40.92,92,131,70,826,214,108,73,1654,281,134,147,230,190,230,190,1431,271,24,81,780,100,760,100,PL1_Pool1_5_G10_2015
E. myoxinus,G13_2015,42.08,93,85,60,812,214,108,73,1647,282,135,147,231,191,231,191,1436,271,24,80,781,101,760,101,PL1_Pool2_10_G13_2015
E. myoxinus,G16_2015,40.83,100,151,70,705,220,106,72,1615,288,141,147,236,197,236,197,1441,271,25,80,784,103,759,103,PL1_PoolX_G16_2015
E. myoxinus,G18_2015,40.16,101,134,60,705,220,106,72,1615,288,141,147,236,197,236,197,1441,271,25,80,784,103,759,103,PL1_Pool1_32_G18_2015
E. myoxinus,G25_2015,37.56,87,140,60,826,214,108,73,1654,281,134,147,230,190,230,190,1431,271,24,81,780,100,760,100,PL1_Pool2_G25_2015_D_4
E. myoxinus,G27_2015,39.41,95,133,70,826,214,108,73,1654,281,134,147,230,190,230,190,1431,271,24,81,780,100,760,100,PL1_Pool2_34_G27_2015
E. myoxinus,G33_2015,35.71,84,155,80,705,220,106,72,1615,288,141,147,236,197,236,197,1441,271,25,80,784,103,759,103,PL1_Pool2_G33_2015_D_20
E. myoxinus,G35_2015,39.5,77,126,50,750,218,107,72,1652,286,138,148,234,195,234,195,1436,270,25,80,781,102,758,102,PL1_Pool1_30_G35_2015
E. myoxinus,G36_2015,41.32,102,132,60,750,218,107,72,1652,286,138,148,234,195,234,195,1436,270,25,80,781,102,758,102,PL1_Pool2_G36_2015_D_19
E. myoxinus,G43_2015,42.39,92,165,70,933,208,109,72,1635,277,127,150,224,185,224,185,1428,284,20,86,806,82,791,93,PL1_Pool1_29_G43_2015
E. myoxinus,G48_2015,40.55,90,113,60,997,208,110,72,1660,278,127,151,223,184,224,184,1428,283,20,86,803,84,788,96,PL1_Pool2_16_G48_2015
E. myoxinus,G49_2015,41.75,99,157,70,997,208,110,72,1660,278,127,151,223,184,224,184,1428,283,20,86,803,84,788,96,PL1_Pool2_G49_2015_D_21
E. myoxinus,G50_2015,40.22,89,159,70,997,208,110,72,1660,278,127,151,223,184,224,184,1428,283,20,86,803,84,788,96,PL1_Pool1_39_G50_2015
E. myoxinus,G51_2015,39.64,97,137,60,1084,200,111,73,1675,271,119,152,217,176,217,176,1421,281,21,85,793,85,783,85,PL1_Pool2_9_G51_2015
E. myoxinus,G55_2015,40.8,100,95,90,933,208,109,72,1635,277,127,150,224,185,224,185,1428,284,20,86,806,82,791,93,PL1_Pool1_25_G55_2015
E. myoxinus,G6_2015,38.2,100,150,80,818,214,108,72,1643,283,134,149,230,190,230,190,1435,272,24,81,783,99,763,99,PL1_PoolX_G6_2015
E. myoxinus,G60_2015,39.74,110,110,80,933,208,109,72,1635,277,127,150,224,185,224,185,1428,284,20,86,806,82,791,93,PL1_Pool2_5_G60_2015
E. myoxinus,G62_2015,36.58,94,145,60,843,212,109,73,1590,281,132,149,228,189,228,189,1432,285,20,87,811,82,793,82,PL1_Pool2_G62_2015_D_28
E. myoxinus,G63_2015,42.91,98,137,80,997,208,110,72,1660,278,127,151,223,184,224,184,1428,283,20,86,803,84,788,96,PL1_Pool2_32_G63_2015
E. myoxinus,G75_2015,38.9,82,143,50,890,211,109,72,1602,281,131,150,227,188,227,188,1433,284,20,86,808,83,790,83,PL1_Pool2_G75_2015_E_3
E. myoxinus,G76_2015,38.25,105,155,70,801,212,109,72,1630,281,131,150,228,189,228,189,1434,285,20,86,811,82,793,93,PL1_Pool2_G76_2015_E_14
E. myoxinus,G77_2015,44.44,110,156,80,890,211,109,72,1602,281,131,150,227,188,227,188,1433,284,20,86,808,83,790,83,PL1_Pool2_G77_2015_E_27
E. myoxinus,H19_2011,40.3,92,107,64,737,219,104,72,1529,285,142,143,233,197,234,197,1411,279,22,84,792,92,769,92,PL1_PoolX_H19_2011
E. myoxinus,H20_2011,41.28,91,151,85,737,219,104,72,1529,285,142,143,233,197,234,197,1411,279,22,84,792,92,769,92,PL1_Pool1_H20_D_2
E. myoxinus,H25_2011,36.84,95,150,70,693,221,104,72,1539,287,144,143,236,199,236,199,1409,279,22,84,791,92,768,92,PL1_Pool1_14_H25_2011
E. myoxinus,H26_2011,39.62,109,152,70,571,230,102,72,1455,294,154,140,244,209,244,209,1425,283,22,84,803,93,778,93,PL1_PoolX_H26_2011
E. myoxinus,H40_2011,39.82,94,160,65,737,219,104,72,1529,285,142,143,233,197,234,197,1411,279,22,84,792,92,769,92,PL1_Pool1_H40_D_26
E. myoxinus,H46_2011,39.85,82,92,70,693,221,104,72,1539,287,144,143,236,199,236,199,1409,279,22,84,791,92,768,92,PL1_Pool1_H46_B_1
E. myoxinus,H49_2011,34.12,71,73,26,693,221,104,72,1539,287,144,143,236,199,236,199,1409,279,22,84,791,92,768,92,PL1_PoolX_H49_2011
E. myoxinus,I4_2015,41.05,95,105,68,850,212,116,71,1742,288,126,162,229,188,229,188,1482,298,18,90,851,69,836,80,PL1_Pool3_27_I04_2015
E. myoxinus,I5_2015,40.1,98,125,81,990,205,118,72,1736,282,119,163,222,181,223,181,1469,295,18,89,837,69,830,81,PL1_Pool3_16_I05_2015
E. myoxinus,I10_2015,39.19,71,125,42,856,213,116,71,1703,288,126,162,229,189,229,188,1482,299,18,90,854,67,838,78,PL1_PoolX_I10_2015
E. myoxinus,I11_2015,42.79,99,145,73,856,213,116,71,1703,288,126,162,229,189,229,188,1482,299,18,90,854,67,838,78,PL1_Pool2_39_I11_2015
E. myoxinus,I12_2015,40.11,93,100,60,856,213,116,71,1703,288,126,162,229,189,229,188,1482,299,18,90,854,67,838,78,PL1_Pool2_6_I12_2015
E. myoxinus,I13_2015,40.35,89,142,70,783,218,115,71,1674,292,132,160,234,195,235,194,1492,301,17,90,866,66,843,78,PL1_Pool3_5_I13_2015
E. myoxinus,I8_2015,40.43,85,96,65,856,213,116,71,1703,288,126,162,229,189,229,188,1482,299,18,90,854,67,838,78,PL1_Pool2_I8_2015_D_34
E. myoxinus,J60_2011,34.23,85,132,65,345,241,99,72,1449,302,166,136,255,220,255,220,1440,282,26,80,791,107,765,107,PL1_PoolX_J60_2011
E. myoxinus,J61_2011,35.79,86,85,75,484,232,101,73,1464,295,157,138,246,211,246,211,1424,274,25,81,783,104,783,104,PL1_PoolX_J61_2011
E. myoxinus,J63_2011,32.95,85,134,45,345,241,99,72,1449,302,166,136,255,220,255,220,1440,282,26,80,791,107,765,107,PL1_Pool1_35_J63_2011
E. myoxinus,K49_2011,37.69,74,138,40,489,236,100,72,1493,298,160,138,250,214,250,214,1437,278,25,80,790,104,762,104,PL1_Pool2_K49_2011_B_4
E. myoxinus,K51_2011,41.5,89,142,50,489,236,100,72,1493,298,160,138,250,214,250,214,1437,278,25,80,790,104,762,104,PL1_Pool2_K51_2011_B_5
