Gen	np	tree	tau_4EminEmyoxEsp	tau_5EmyoxEsp	lnL
19100	2	11	0.001153	0.000608	-2521400.847
19200	2	11	0.001117	0.000610	-2521458.455
19300	2	11	0.001096	0.000607	-2521345.890
19400	2	11	0.001101	0.000637	-2521475.185
19500	2	11	0.001140	0.000638	-2521723.911
19600	2	11	0.001117	0.000619	-2521443.818
19700	2	11	0.001129	0.000627	-2521508.696
19800	2	11	0.001168	0.000612	-2521524.783
19900	2	11	0.001106	0.000594	-2521445.452
20000	2	11	0.001099	0.000602	-2521483.130
20100	2	11	0.001127	0.000598	-2521485.787
20200	2	11	0.001130	0.000612	-2521376.298
20300	2	11	0.001150	0.000624	-2521433.256
20400	2	11	0.001127	0.000602	-2521537.336
20500	2	11	0.001137	0.000591	-2521384.149
20600	2	11	0.001169	0.000625	-2521475.181
20700	2	11	0.001139	0.000614	-2521411.413
20800	2	11	0.001130	0.000605	-2521448.694
20900	2	11	0.001120	0.000598	-2521314.180
21000	2	11	0.001128	0.000616	-2521407.676
21100	2	11	0.001134	0.000610	-2521458.338
21200	2	11	0.001175	0.000607	-2521428.465
21300	2	11	0.001139	0.000631	-2521576.370
21400	2	11	0.001129	0.000600	-2521272.464
21500	2	11	0.001128	0.000620	-2521503.054
21600	2	11	0.001130	0.000626	-2521551.185
21700	2	11	0.001099	0.000635	-2521474.297
21800	2	11	0.001148	0.000575	-2521419.254
21900	2	11	0.001123	0.000604	-2521415.807
22000	2	11	0.001109	0.000592	-2521282.295
22100	2	11	0.001126	0.000611	-2521387.343
22200	2	11	0.001137	0.000591	-2521317.733
22300	2	11	0.001168	0.000581	-2521353.315
22400	2	11	0.001147	0.000593	-2521321.658
22500	2	11	0.001139	0.000581	-2521577.897
22600	2	11	0.001160	0.000609	-2521537.732
22700	2	11	0.001152	0.000615	-2521443.233
22800	2	11	0.001131	0.000611	-2521336.229
22900	2	11	0.001171	0.000621	-2521624.884
23000	2	11	0.001191	0.000610	-2521446.069
23100	2	11	0.001143	0.000609	-2521291.940
23200	2	11	0.001116	0.000600	-2521257.071
23300	2	11	0.001146	0.000607	-2521523.348
23400	2	11	0.001155	0.000630	-2521411.476
23500	2	11	0.001148	0.000582	-2521444.559
23600	2	11	0.001161	0.000615	-2521389.355
23700	2	11	0.001146	0.000621	-2521534.508
23800	2	11	0.001102	0.000608	-2521275.265
23900	2	11	0.001084	0.000618	-2521252.769
24000	2	11	0.001101	0.000613	-2521238.961
24100	2	11	0.001143	0.000581	-2521472.835
24200	2	11	0.001138	0.000615	-2521386.146
24300	2	11	0.001112	0.000582	-2521313.592
24400	2	11	0.001150	0.000611	-2521488.975
24500	2	11	0.001148	0.000593	-2521348.968
24600	2	11	0.001116	0.000581	-2521462.569
24700	2	11	0.001091	0.000593	-2521500.735
24800	2	11	0.001120	0.000614	-2521524.792
24900	2	11	0.001118	0.000584	-2521383.209
25000	2	11	0.001117	0.000583	-2521388.954
25100	2	11	0.001134	0.000596	-2521384.740
25200	2	11	0.001144	0.000587	-2521383.657
25300	2	11	0.001140	0.000642	-2521541.612
25400	2	11	0.001144	0.000594	-2521367.396
25500	2	11	0.001139	0.000583	-2521312.853
25600	2	11	0.001111	0.000637	-2521488.595
25700	2	11	0.001127	0.000646	-2521431.688
25800	2	11	0.001105	0.000605	-2521405.862
25900	2	11	0.001165	0.000600	-2521325.714
26000	2	11	0.001134	0.000622	-2521335.665
26100	2	11	0.001140	0.000615	-2521354.140
26200	2	11	0.001138	0.000608	-2521414.376
26300	2	11	0.001146	0.000597	-2521302.982
26400	2	11	0.001149	0.000578	-2521491.363
26500	2	11	0.001133	0.000600	-2521285.146
26600	2	11	0.001126	0.000585	-2521306.873
26700	2	11	0.001116	0.000601	-2521460.094
26800	2	11	0.001124	0.000631	-2521377.793
26900	2	11	0.001120	0.000583	-2521400.633
27000	2	11	0.001121	0.000624	-2521207.194
27100	2	11	0.001130	0.000562	-2521408.611
27200	2	11	0.001160	0.000611	-2521530.723
27300	2	11	0.001163	0.000616	-2521603.557
27400	2	11	0.001101	0.000601	-2521356.444
27500	2	11	0.001116	0.000595	-2521440.585
27600	2	11	0.001119	0.000608	-2521356.084
27700	2	11	0.001115	0.000629	-2521330.856
27800	2	11	0.001144	0.000609	-2521315.031
27900	2	11	0.001130	0.000577	-2521373.524
28000	2	11	0.001087	0.000590	-2521359.312
28100	2	11	0.001109	0.000602	-2521278.304
28200	2	11	0.001127	0.000608	-2521397.087
28300	2	11	0.001153	0.000594	-2521467.369
28400	2	11	0.001154	0.000592	-2521298.928
28500	2	11	0.001132	0.000602	-2521342.027
28600	2	11	0.001152	0.000610	-2521375.732
28700	2	11	0.001150	0.000626	-2521502.257
28800	2	11	0.001116	0.000625	-2521461.448
28900	2	11	0.001133	0.000630	-2521367.106
29000	2	11	0.001152	0.000601	-2521479.946
29100	2	11	0.001140	0.000603	-2521391.725
29200	2	11	0.001130	0.000592	-2521312.541
29300	2	11	0.001155	0.000597	-2521335.092
29400	2	11	0.001131	0.000584	-2521394.008
29500	2	11	0.001116	0.000611	-2521376.936
29600	2	11	0.001154	0.000607	-2521325.704
29700	2	11	0.001108	0.000590	-2521310.130
29800	2	11	0.001126	0.000592	-2521346.308
29900	2	11	0.001129	0.000610	-2521273.157
30000	2	11	0.001111	0.000612	-2521274.824
30100	2	11	0.001097	0.000594	-2521245.726
30200	2	11	0.001121	0.000595	-2521203.589
30300	2	11	0.001152	0.000589	-2521284.205
30400	2	11	0.001116	0.000627	-2521400.918
30500	2	11	0.001107	0.000612	-2521377.632
30600	2	11	0.001113	0.000611	-2521504.450
30700	2	11	0.001110	0.000604	-2521339.045
30800	2	11	0.001098	0.000609	-2521276.123
30900	2	11	0.001122	0.000621	-2521222.456
31000	2	11	0.001126	0.000639	-2521509.329
31100	2	11	0.001111	0.000615	-2521418.542
31200	2	11	0.001116	0.000604	-2521453.137
31300	2	11	0.001114	0.000599	-2521240.870
31400	2	11	0.001105	0.000613	-2521159.919
31500	2	11	0.001109	0.000653	-2521467.455
31600	2	11	0.001114	0.000609	-2521233.547
31700	2	11	0.001120	0.000612	-2521229.394
31800	2	11	0.001087	0.000596	-2521396.375
31900	2	11	0.001086	0.000615	-2521333.505
32000	2	11	0.001120	0.000592	-2521319.929
32100	2	11	0.001129	0.000595	-2521439.311
32200	2	11	0.001139	0.000616	-2521254.824
32300	2	11	0.001137	0.000610	-2521577.499
32400	2	11	0.001102	0.000577	-2521246.309
32500	2	11	0.001096	0.000599	-2521276.350
32600	2	11	0.001105	0.000607	-2521555.985
32700	2	11	0.001155	0.000626	-2521302.815
32800	2	11	0.001150	0.000597	-2521299.440
32900	2	11	0.001142	0.000599	-2521392.414
33000	2	11	0.001111	0.000606	-2521318.062
33100	2	11	0.001142	0.000628	-2521427.183
33200	2	11	0.001151	0.000611	-2521369.941
33300	2	11	0.001125	0.000605	-2521347.923
33400	2	11	0.001137	0.000592	-2521392.239
33500	2	11	0.001134	0.000594	-2521206.656
33600	2	11	0.001138	0.000587	-2521350.356
33700	2	11	0.001133	0.000626	-2521419.491
33800	2	11	0.001155	0.000628	-2521407.331
33900	2	11	0.001161	0.000620	-2521599.695
34000	2	11	0.001168	0.000591	-2521383.692
34100	2	11	0.001138	0.000608	-2521373.084
34200	2	11	0.001117	0.000597	-2521337.699
34300	2	11	0.001138	0.000637	-2521298.039
34400	2	11	0.001160	0.000611	-2521450.291
34500	2	11	0.001107	0.000598	-2521309.367
34600	2	11	0.001149	0.000611	-2521434.462
34700	2	11	0.001114	0.000589	-2521302.394
34800	2	11	0.001109	0.000612	-2521427.820
34900	2	11	0.001142	0.000602	-2521245.448
35000	2	11	0.001106	0.000622	-2521389.636
35100	2	11	0.001123	0.000606	-2521346.304
35200	2	11	0.001107	0.000589	-2521375.118
35300	2	11	0.001157	0.000626	-2521646.890
35400	2	11	0.001160	0.000589	-2521458.841
35500	2	11	0.001170	0.000610	-2521417.349
35600	2	11	0.001166	0.000643	-2521497.023
35700	2	11	0.001158	0.000625	-2521603.188
35800	2	11	0.001113	0.000619	-2521442.540
35900	2	11	0.001145	0.000598	-2521499.708
36000	2	11	0.001129	0.000614	-2521274.033
36100	2	11	0.001126	0.000580	-2521221.837
36200	2	11	0.001118	0.000614	-2521449.211
36300	2	11	0.001117	0.000610	-2521283.273
36400	2	11	0.001097	0.000600	-2521245.919
36500	2	11	0.001128	0.000621	-2521475.022
36600	2	11	0.001132	0.000630	-2521335.512
36700	2	11	0.001147	0.000594	-2521363.251
36800	2	11	0.001115	0.000627	-2521412.869
36900	2	11	0.001138	0.000644	-2521121.852
37000	2	11	0.001092	0.000604	-2521364.016
37100	2	11	0.001100	0.000601	-2521339.194
37200	2	11	0.001095	0.000602	-2521141.613
37300	2	11	0.001074	0.000590	-2521230.203
37400	2	11	0.001108	0.000582	-2521284.225
37500	2	11	0.001122	0.000588	-2521283.474
37600	2	11	0.001114	0.000588	-2521362.520
37700	2	11	0.001127	0.000600	-2521309.335
37800	2	11	0.001105	0.000620	-2521240.309
37900	2	11	0.001126	0.000598	-2521263.529
38000	2	11	0.001146	0.000599	-2521348.546
38100	2	11	0.001138	0.000584	-2521415.070
38200	2	11	0.001142	0.000607	-2521650.518
38300	2	11	0.001127	0.000616	-2521419.732
38400	2	11	0.001126	0.000600	-2521418.558
38500	2	11	0.001145	0.000592	-2521444.258
38600	2	11	0.001151	0.000606	-2521510.086
38700	2	11	0.001136	0.000616	-2521387.916
38800	2	11	0.001087	0.000643	-2521254.324
38900	2	11	0.001120	0.000615	-2521311.992
39000	2	11	0.001140	0.000609	-2521289.983
39100	2	11	0.001121	0.000596	-2521257.271
39200	2	11	0.001134	0.000616	-2521477.317
39300	2	11	0.001090	0.000586	-2521248.626
39400	2	11	0.001173	0.000616	-2521366.980
39500	2	11	0.001118	0.000586	-2521244.008
39600	2	11	0.001162	0.000583	-2521193.948
39700	2	11	0.001149	0.000617	-2521386.551
39800	2	11	0.001160	0.000605	-2521347.669
39900	2	11	0.001129	0.000621	-2521444.739
40000	2	11	0.001131	0.000599	-2521233.172
40100	2	11	0.001143	0.000610	-2521269.110
40200	2	11	0.001138	0.000597	-2521367.247
40300	2	11	0.001133	0.000606	-2521556.784
40400	2	11	0.001159	0.000602	-2521336.584
40500	2	11	0.001152	0.000618	-2521482.392
40600	2	11	0.001179	0.000612	-2521522.461
40700	2	11	0.001156	0.000606	-2521461.959
40800	2	11	0.001164	0.000605	-2521451.184
40900	2	11	0.001129	0.000627	-2521474.159
41000	2	11	0.001098	0.000632	-2521378.997
41100	2	11	0.001093	0.000615	-2521433.139
41200	2	11	0.001097	0.000561	-2521263.481
41300	2	11	0.001127	0.000591	-2521348.168
41400	2	11	0.001109	0.000633	-2521464.369
41500	2	11	0.001125	0.000625	-2521312.231
41600	2	11	0.001119	0.000599	-2521425.244
41700	2	11	0.001151	0.000654	-2521482.239
41800	2	11	0.001163	0.000665	-2521417.478
41900	2	11	0.001149	0.000593	-2521298.431
42000	2	11	0.001148	0.000630	-2521235.309
42100	2	11	0.001123	0.000603	-2521199.622
42200	2	11	0.001137	0.000589	-2521234.109
42300	2	11	0.001160	0.000639	-2521381.325
42400	2	11	0.001143	0.000627	-2521535.838
42500	2	11	0.001135	0.000601	-2521449.016
42600	2	11	0.001146	0.000609	-2521549.790
42700	2	11	0.001125	0.000610	-2521403.652
42800	2	11	0.001158	0.000598	-2521313.982
42900	2	11	0.001095	0.000619	-2521392.482
43000	2	11	0.001112	0.000603	-2521249.208
43100	2	11	0.001164	0.000591	-2521333.657
43200	2	11	0.001171	0.000579	-2521469.113
43300	2	11	0.001181	0.000630	-2521309.532
43400	2	11	0.001117	0.000638	-2521677.386
43500	2	11	0.001166	0.000613	-2521565.296
43600	2	11	0.001150	0.000613	-2521276.815
43700	2	11	0.001142	0.000622	-2521537.649
43800	2	11	0.001165	0.000632	-2521317.086
43900	2	11	0.001137	0.000601	-2521309.219
44000	2	11	0.001174	0.000588	-2521260.258
44100	2	11	0.001144	0.000586	-2521406.471
44200	2	11	0.001108	0.000610	-2521285.037
44300	2	11	0.001099	0.000603	-2521220.296
44400	2	11	0.001147	0.000621	-2521406.633
44500	2	11	0.001138	0.000612	-2521385.883
44600	2	11	0.001114	0.000654	-2521460.940
44700	2	11	0.001143	0.000629	-2521358.359
44800	2	11	0.001115	0.000605	-2521430.857
44900	2	11	0.001141	0.000601	-2521388.262
45000	2	11	0.001139	0.000621	-2521557.768
45100	2	11	0.001120	0.000608	-2521352.740
45200	2	11	0.001162	0.000610	-2521281.310
45300	2	11	0.001140	0.000624	-2521413.613
45400	2	11	0.001147	0.000598	-2521316.928
45500	2	11	0.001136	0.000615	-2521526.091
45600	2	11	0.001136	0.000590	-2521248.547
45700	2	11	0.001124	0.000619	-2521362.687
45800	2	11	0.001175	0.000625	-2521294.167
45900	2	11	0.001135	0.000628	-2521338.994
46000	2	11	0.001116	0.000580	-2521437.035
46100	2	11	0.001123	0.000598	-2521402.722
46200	2	11	0.001095	0.000620	-2521381.198
46300	2	11	0.001120	0.000586	-2521311.653
46400	2	11	0.001115	0.000611	-2521562.144
46500	2	11	0.001110	0.000600	-2521251.576
46600	2	11	0.001117	0.000597	-2521441.930
46700	2	11	0.001152	0.000627	-2521454.131
46800	2	11	0.001145	0.000617	-2521409.855
46900	2	11	0.001167	0.000625	-2521517.530
47000	2	11	0.001178	0.000587	-2521389.506
47100	2	11	0.001170	0.000605	-2521529.482
47200	2	11	0.001147	0.000578	-2521315.494
47300	2	11	0.001143	0.000611	-2521375.289
47400	2	11	0.001123	0.000585	-2521369.062
47500	2	11	0.001141	0.000593	-2521304.096
47600	2	11	0.001159	0.000637	-2521356.301
47700	2	11	0.001155	0.000636	-2521344.234
47800	2	11	0.001106	0.000626	-2521456.760
47900	2	11	0.001145	0.000622	-2521548.024
48000	2	11	0.001137	0.000647	-2521248.036
48100	2	11	0.001143	0.000586	-2521501.938
48200	2	11	0.001146	0.000586	-2521403.974
48300	2	11	0.001167	0.000623	-2521442.699
48400	2	11	0.001138	0.000642	-2521371.075
48500	2	11	0.001123	0.000589	-2521541.553
48600	2	11	0.001152	0.000600	-2521550.440
48700	2	11	0.001133	0.000595	-2521398.686
48800	2	11	0.001121	0.000616	-2521360.328
48900	2	11	0.001159	0.000604	-2521415.548
49000	2	11	0.001163	0.000592	-2521411.501
49100	2	11	0.001118	0.000591	-2521332.143
49200	2	11	0.001132	0.000635	-2521369.542
49300	2	11	0.001142	0.000600	-2521183.182
49400	2	11	0.001126	0.000592	-2521568.318
49500	2	11	0.001170	0.000595	-2521502.655
49600	2	11	0.001145	0.000602	-2521376.445
49700	2	11	0.001109	0.000588	-2521275.238
49800	2	11	0.001141	0.000620	-2521436.070
49900	2	11	0.001144	0.000589	-2521363.402
50000	2	11	0.001123	0.000594	-2521267.847
50100	2	11	0.001160	0.000617	-2521403.379
50200	2	11	0.001133	0.000601	-2521497.489
50300	2	11	0.001152	0.000628	-2521435.844
50400	2	11	0.001136	0.000624	-2521511.894
50500	2	11	0.001117	0.000602	-2521367.252
