Gen	np	tree	tau_4EminEmyoxEsp	lnL
18900	2	11	0.001141	0.000622	-2521571.570
19000	2	11	0.001127	0.000607	-2521546.554
19100	2	11	0.001117	0.000592	-2521451.537
19200	2	11	0.001129	0.000602	-2521528.182
19300	2	11	0.001112	0.000600	-2521639.226
19400	2	11	0.001138	0.000613	-2521615.465
19500	2	11	0.001076	0.000615	-2521496.863
19600	2	11	0.001082	0.000599	-2521346.730
19700	2	11	0.001121	0.000631	-2521459.563
19800	2	11	0.001137	0.000626	-2521482.221
19900	2	11	0.001143	0.000641	-2521524.978
20000	2	11	0.001176	0.000610	-2521778.455
20100	2	11	0.001138	0.000625	-2521609.915
20200	2	11	0.001124	0.000610	-2521589.744
20300	2	11	0.001158	0.000620	-2521658.475
20400	2	11	0.001168	0.000600	-2521565.640
20500	2	11	0.001183	0.000587	-2521526.242
20600	2	11	0.001177	0.000589	-2521551.709
20700	2	11	0.001182	0.000641	-2521650.887
20800	2	11	0.001154	0.000604	-2521721.265
20900	2	11	0.001143	0.000593	-2521521.906
21000	2	11	0.001119	0.000602	-2521447.558
21100	2	11	0.001097	0.000585	-2521535.085
21200	2	11	0.001076	0.000657	-2521451.762
21300	2	11	0.001084	0.000647	-2521452.290
21400	2	11	0.001101	0.000637	-2521686.650
21500	2	11	0.001118	0.000645	-2521655.604
21600	2	11	0.001106	0.000601	-2521415.271
21700	2	11	0.001112	0.000627	-2521644.610
21800	2	11	0.001108	0.000617	-2521333.350
21900	2	11	0.001158	0.000640	-2521519.759
22000	2	11	0.001157	0.000638	-2521703.751
22100	2	11	0.001144	0.000629	-2521582.828
22200	2	11	0.001135	0.000637	-2521787.830
22300	2	11	0.001109	0.000652	-2521725.851
22400	2	11	0.001108	0.000596	-2521524.897
22500	2	11	0.001109	0.000594	-2521504.775
22600	2	11	0.001134	0.000608	-2521372.617
22700	2	11	0.001127	0.000619	-2521513.973
22800	2	11	0.001113	0.000624	-2521521.429
22900	2	11	0.001149	0.000628	-2521464.462
23000	2	11	0.001125	0.000622	-2521641.278
23100	2	11	0.001147	0.000612	-2521563.166
23200	2	11	0.001135	0.000595	-2521499.919
23300	2	11	0.001151	0.000600	-2521700.087
23400	2	11	0.001119	0.000608	-2521509.746
23500	2	11	0.001112	0.000598	-2521328.521
23600	2	11	0.001097	0.000620	-2521587.401
23700	2	11	0.001110	0.000604	-2521574.705
23800	2	11	0.001111	0.000606	-2521569.979
23900	2	11	0.001145	0.000604	-2521323.211
24000	2	11	0.001113	0.000605	-2521420.307
24100	2	11	0.001093	0.000616	-2521335.538
24200	2	11	0.001112	0.000592	-2521390.410
24300	2	11	0.001130	0.000613	-2521462.213
24400	2	11	0.001142	0.000591	-2521545.803
24500	2	11	0.001108	0.000634	-2521425.335
24600	2	11	0.001115	0.000593	-2521534.508
24700	2	11	0.001137	0.000585	-2521448.297
24800	2	11	0.001155	0.000619	-2521559.504
24900	2	11	0.001135	0.000653	-2521553.301
25000	2	11	0.001166	0.000606	-2521661.642
25100	2	11	0.001151	0.000637	-2521597.040
25200	2	11	0.001117	0.000638	-2521658.635
25300	2	11	0.001101	0.000643	-2521653.587
25400	2	11	0.001117	0.000610	-2521435.453
25500	2	11	0.001115	0.000609	-2521590.206
25600	2	11	0.001138	0.000625	-2521654.187
25700	2	11	0.001155	0.000578	-2521527.094
25800	2	11	0.001138	0.000630	-2521707.299
25900	2	11	0.001177	0.000594	-2521506.836
26000	2	11	0.001121	0.000604	-2521694.029
26100	2	11	0.001094	0.000584	-2521540.264
26200	2	11	0.001101	0.000588	-2521470.599
26300	2	11	0.001161	0.000640	-2521511.496
26400	2	11	0.001136	0.000606	-2521534.869
26500	2	11	0.001147	0.000616	-2521690.135
26600	2	11	0.001122	0.000624	-2521396.412
26700	2	11	0.001131	0.000621	-2521709.996
26800	2	11	0.001091	0.000601	-2521482.774
26900	2	11	0.001118	0.000626	-2521547.168
27000	2	11	0.001152	0.000632	-2521545.974
27100	2	11	0.001149	0.000607	-2521585.355
27200	2	11	0.001131	0.000607	-2521458.614
27300	2	11	0.001117	0.000602	-2521531.627
27400	2	11	0.001102	0.000583	-2521422.445
27500	2	11	0.001127	0.000615	-2521560.912
27600	2	11	0.001125	0.000605	-2521251.071
27700	2	11	0.001134	0.000609	-2521516.594
27800	2	11	0.001119	0.000620	-2521524.381
27900	2	11	0.001131	0.000571	-2521451.772
28000	2	11	0.001100	0.000632	-2521584.806
28100	2	11	0.001097	0.000609	-2521506.401
28200	2	11	0.001109	0.000575	-2521674.151
28300	2	11	0.001129	0.000644	-2521327.753
28400	2	11	0.001127	0.000621	-2521312.984
28500	2	11	0.001105	0.000603	-2521570.861
28600	2	11	0.001107	0.000593	-2521350.649
28700	2	11	0.001107	0.000597	-2521425.666
28800	2	11	0.001078	0.000594	-2521372.482
28900	2	11	0.001105	0.000582	-2521507.201
29000	2	11	0.001119	0.000608	-2521473.385
29100	2	11	0.001118	0.000613	-2521518.543
29200	2	11	0.001118	0.000599	-2521544.453
29300	2	11	0.001134	0.000615	-2521542.442
29400	2	11	0.001137	0.000608	-2521565.194
29500	2	11	0.001123	0.000592	-2521548.803
29600	2	11	0.001133	0.000640	-2521411.576
29700	2	11	0.001131	0.000595	-2521575.046
29800	2	11	0.001152	0.000611	-2521264.415
29900	2	11	0.001129	0.000616	-2521564.663
30000	2	11	0.001110	0.000584	-2521535.794
30100	2	11	0.001116	0.000636	-2521593.730
30200	2	11	0.001117	0.000582	-2521493.124
30300	2	11	0.001112	0.000642	-2521517.038
30400	2	11	0.001119	0.000635	-2521464.191
30500	2	11	0.001166	0.000605	-2521459.787
30600	2	11	0.001115	0.000613	-2521295.002
30700	2	11	0.001092	0.000616	-2521359.376
