id_seq,id,latitude,longitude,species,site
PL1_Pool1_45_H39_2012,H39_2012,-12.82941,49.1533,E. carletoni,MAROV
PL1_Pool1_14_H20_2012,H20_2012,-12.88394,49.11359,E. carletoni,MAROV
PL1_Pool1_45_F150_2012,F150_2012,-12.85748,49.1286,E. carletoni,MAROV
PL1_Pool2_12_H10_2012,H10_2012,-12.86208,49.12417,E. carletoni,MAROV
PL1_PoolX_H11_2012,H11_2012,-12.86177,49.12588,E. carletoni,MAROV
PL1_PoolX_H7_2012,H7_2012,-12.85455,49.13514,E. carletoni,MAROV
PL1_Pool2_B62_2013_C_16,B62_2013,-13.43622,49.71942,E. carletoni,SAL
PL1_Pool2_28_B53_2013,B53_2013,-13.44045,49.72103,E. carletoni,SAL
PL1_PoolX_B63_2013,B63_2013,-13.44819,49.72201,E. carletoni,SAL
PL1_PoolX_B64_2013,B64_2013,-13.44856,49.72165,E. carletoni,SAL
PL1_Pool2_A39_A_36,A39_2012,-12.96833,49.21461,E. carletoni,SERA
PL1_Pool2_A55_E_3,A55_2012,-12.94996,49.20619,E. carletoni,SERA
PL1_Pool1_48_A53_2012,A53_2012,-12.95103,49.207,E. carletoni,SERA
PL1_PoolX_A27_2012,A27_2012,-12.95736,49.20354,E. carletoni,SERA
PL1_PoolX_A42_2012,A42_2012,-12.95253,49.21246,E. carletoni,SERA
PL1_Pool1_H07_A_24,H07_2011,-13.08976,49.58438,E. carletoni,SOL
PL1_Pool1_I47_E_13,I47_2011,-13.08869,49.58095,E. carletoni,SOL
PL1_Pool1_30_K06_2011,K06_2011,-13.10335,49.57985,E. carletoni,SOL
PL1_Pool3_24_I22_2011,I22_2011,-13.08855,49.57435,E. carletoni,SOL
PL1_PoolX_H05_2011,H05_2011,-13.08914,49.58291,E. carletoni,SOL
PL1_PoolX_K35_2011,K35_2011,-13.09551,49.57943,E. carletoni,SOL
PL1_Pool2_D16_E_10,D16_2012,-13.1176,49.21146,E. carletoni,TSAKA
PL1_PoolX_F9_2015,F9_2015,-13.65282,49.55326,E. ellermani,AMBA
PL1_Pool3_24_B25_2014,B25_2014,-13.89701,49.44081,E. ellermani,AMBALA
PL1_Pool2_G52_2015_E_12,G52_2015,-13.34159,49.45042,E. ellermani,ANKI
PL1_Pool1_10_G45_2015,G45_2015,-13.34853,49.44703,E. ellermani,ANKI
PL1_Pool1_H22_D_37,H22_2011,-13.21265,49.55706,E. ellermani,ANTSB
PL1_Pool1_H38_D_17,H38_2011,-13.21265,49.55706,E. ellermani,ANTSB
PL1_Pool1_H41_D_10,H41_2011,-13.21265,49.55706,E. ellermani,ANTSB
PL1_Pool1_33_H79_2011,H79_2011,-13.21444,49.55527,E. ellermani,ANTSB
PL1_Pool2_34_H62_2011,H62_2011,-13.21154,49.56386,E. ellermani,ANTSB
PL1_Pool2_36_H71_2011,H71_2011,-13.21335,49.56152,E. ellermani,ANTSB
PL1_PoolX_H21_2011,H21_2011,-13.21329,49.5569,E. ellermani,ANTSB
PL1_PoolX_H42_2011,H42_2011,-13.20822,49.56581,E. ellermani,ANTSB
PL1_Pool1_35_C84_2013,C84_2013,-13.55604,49.87817,E. ellermani,BEZ
PL1_Pool2_K55_2011_B_6,K55_2011,-13.28992,49.60658,E. ellermani,BIN
PL1_Pool1_48_K71_2011,K71_2011,-13.28993,49.60661,E. ellermani,BIN
PL1_Pool1_24_BF61_2017,BF61_2017,-13.25011,49.59513,E. ellermani,BIN
PL1_Pool1_46_BF41_2017,BF41_2017,-13.28795,49.60271,E. ellermani,BIN
PL1_Pool2_6_BF73_2017,BF73_2017,-13.28532,49.59879,E. ellermani,BIN
PL1_PoolX_G9_2015,G9_2015,-13.45726,49.56654,E. ellermani,KABE
PL1_Pool1_12_G30_2015,G30_2015,-13.45987,49.57375,E. ellermani,KABE
PL1_Pool2_29_BD44_2017,BD44_2017,-12.52175,49.19254,E. ellermani,M_AMBRE_NORTH
PL1_Pool3_33_BC74_2017,BC74_2017,-12.52726,49.17227,E. ellermani,M_AMBRE_NORTH
PL1_Pool1_34_BK100_2018,BK100_2018,-14.24838,49.60216,E. myoxinus,AMBATO
PL1_Pool3_16_BK75_2018,BK75_2018,-14.25197,49.62529,E. myoxinus,AMBATO
PL1_Pool2_B21_2013_C_3,B21_2013,-13.45906,49.82605,E. myoxinus,ANALF
PL1_PoolX_B17_2013,B17_2013,-13.44332,49.83579,E. myoxinus,ANALF
PL1_PoolX_B20_2013,B20_2013,-13.46023,49.82661,E. myoxinus,ANALF
PL1_Pool2_A28_2013_B_20,A28_2013,-13.619,49.99098,E. myoxinus,ANALV
PL1_Pool2_A47_2013_C_7,A47_2013,-13.61318,49.99102,E. myoxinus,ANALV
PL1_Pool1_B16_D_33,B16_2012,-12.91589,49.33134,E. myoxinus,ANDF
PL1_Pool1_B54_A_51,B54_2012,-12.93393,49.31447,E. myoxinus,ANDF
PL1_Pool2_48_B51_2012,B51_2012,-12.91797,49.32937,E. myoxinus,ANDF
PL1_Pool2_E11_D_8,E11_2014,-13.74913,49.59581,E. myoxinus,ANDR
PL1_Pool2_I8_2015_D_34,I8_2015,-13.62493,49.24474,E. myoxinus,ANDRA
PL1_Pool2_36_I08_2015,I08_2015,-13.62493,49.24474,E. myoxinus,ANDRA
